as_of_date,symbol,display_name,candidate_rank,left_score,notes
2025-03-10,588000,科创50ETF,1,0.71,reconstructed_candidate_history_not_real_left_snapshot
2025-03-10,588080,科创板50ETF,2,0.68,reconstructed_candidate_history_not_real_left_snapshot
2025-03-10,512480,半导体ETF,3,0.6300000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-03-10,512760,芯片ETF,4,0.6300000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-03-10,512100,中证1000ETF,5,0.5549999999999999,reconstructed_candidate_history_not_real_left_snapshot
2025-03-11,588000,科创50ETF,1,0.6900000000000002,reconstructed_candidate_history_not_real_left_snapshot
2025-03-11,588080,科创板50ETF,2,0.6300000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-03-11,512480,半导体ETF,3,0.5900000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-03-11,512690,酒ETF,4,0.565,reconstructed_candidate_history_not_real_left_snapshot
2025-03-11,512760,芯片ETF,5,0.55,reconstructed_candidate_history_not_real_left_snapshot
2025-03-12,588000,科创50ETF,1,0.6700000000000002,reconstructed_candidate_history_not_real_left_snapshot
2025-03-12,588080,科创板50ETF,2,0.6100000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-03-12,512480,半导体ETF,3,0.5700000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-03-12,512100,中证1000ETF,4,0.57,reconstructed_candidate_history_not_real_left_snapshot
2025-03-12,512690,酒ETF,5,0.565,reconstructed_candidate_history_not_real_left_snapshot
2025-03-13,588000,科创50ETF,1,0.71,reconstructed_candidate_history_not_real_left_snapshot
2025-03-13,588080,科创板50ETF,2,0.6300000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-03-13,512100,中证1000ETF,3,0.59,reconstructed_candidate_history_not_real_left_snapshot
2025-03-13,512660,军工ETF,4,0.59,reconstructed_candidate_history_not_real_left_snapshot
2025-03-13,512480,半导体ETF,5,0.54,reconstructed_candidate_history_not_real_left_snapshot
2025-03-14,588000,科创50ETF,1,0.6900000000000002,reconstructed_candidate_history_not_real_left_snapshot
2025-03-14,588080,科创板50ETF,2,0.6100000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-03-14,512100,中证1000ETF,3,0.555,reconstructed_candidate_history_not_real_left_snapshot
2025-03-14,512660,军工ETF,4,0.55,reconstructed_candidate_history_not_real_left_snapshot
2025-03-14,512690,酒ETF,5,0.5449999999999999,reconstructed_candidate_history_not_real_left_snapshot
2025-03-17,588000,科创50ETF,1,0.635,reconstructed_candidate_history_not_real_left_snapshot
2025-03-17,588080,科创板50ETF,2,0.5850000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-03-17,512100,中证1000ETF,3,0.5750000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-03-17,512690,酒ETF,4,0.5449999999999999,reconstructed_candidate_history_not_real_left_snapshot
2025-03-17,512480,半导体ETF,5,0.54,reconstructed_candidate_history_not_real_left_snapshot
