"timestamps","open","high","low","close","volume","amount"
"2025-12-17","1.948","1.975","1.923","1.95","1000000","1950000"
"2025-12-19","1.953","1.98","1.928","1.955","1001200","1957346"
"2025-12-22","1.957","1.984","1.932","1.959","1002400","1963701.6"
"2025-12-26","1.96","1.988","1.935","1.963","1003600","1970066.8"
"2025-12-31","1.964","1.992","1.939","1.967","1004800","1976441.6"
"2026-01-06","1.967","1.996","1.942","1.971","1006000","1982826"
"2026-01-13","1.968","1.998","1.943","1.973","1007200","1987205.6"
"2026-01-21","1.969","2","1.944","1.975","1008400","1991590"
"2026-01-30","1.97","2.002","1.945","1.977","1009600","1995979.2"
"2026-02-09","1.969","2.002","1.944","1.977","1010800","1998351.6"
"2026-02-20","1.968","2.002","1.943","1.977","1012000","2000724"
"2026-03-04","1.967","2.002","1.942","1.977","1013200","2003096.4"
"2026-03-17","1.965","2","1.94","1.975","1014400","2003440"
"2026-03-31","1.963","1.999","1.938","1.974","1015600","2004794.4"
"2026-04-15","1.959","1.996","1.934","1.971","1016800","2004112.8"
"2026-05-01","1.956","1.994","1.931","1.969","1018000","2004442"
"2026-05-18","1.954","1.992","1.929","1.967","1019200","2004766.4"
"2026-06-05","1.95","1.989","1.925","1.964","1020400","2004065.6"
"2026-06-24","1.948","1.987","1.923","1.962","1021600","2004379.2"
"2026-07-14","1.946","1.985","1.921","1.96","1022800","2004688"
"2026-08-04","1.944","1.983","1.919","1.958","1024000","2004992"
"2026-08-26","1.943","1.982","1.918","1.957","1025200","2006316.4"
"2026-09-18","1.944","1.982","1.919","1.957","1026400","2008664.8"
"2026-10-12","1.944","1.982","1.919","1.957","1027600","2011013.2"
"2026-11-06","1.946","1.983","1.921","1.958","1028800","2014390.4"
"2026-12-02","1.949","1.985","1.924","1.96","1030000","2018800"
"2026-12-29","1.953","1.988","1.928","1.963","1031200","2024245.6"
"2027-01-26","1.957","1.991","1.932","1.966","1032400","2029698.4"
"2027-02-24","1.961","1.994","1.936","1.969","1033600","2035158.4"
"2027-03-26","1.967","1.999","1.942","1.974","1034800","2042695.2"
"2027-04-26","1.972","2.003","1.947","1.978","1036000","2049208"
"2027-05-28","1.978","2.008","1.953","1.983","1037200","2056767.6"
"2027-06-30","1.982","2.012","1.957","1.987","1038400","2063300.8"
"2027-08-03","1.988","2.017","1.963","1.992","1039600","2070883.2"
"2027-09-07","1.993","2.021","1.968","1.996","1040800","2077436.8"
"2027-10-13","1.997","2.025","1.972","2","1042000","2084000"
"2027-11-19","2.002","2.029","1.977","2.004","1043200","2090572.8"
"2027-12-27","2.005","2.032","1.98","2.007","1044400","2096110.8"
"2028-02-04","2.007","2.034","1.982","2.009","1045600","2100610.4"
"2028-03-15","2.009","2.036","1.984","2.011","1046800","2105114.8"
"2028-04-25","2.01","2.037","1.985","2.012","1048000","2108576"
"2028-06-06","2.009","2.037","1.984","2.012","1049200","2110990.4"
"2028-07-19","2.009","2.037","1.984","2.012","1050400","2113404.8"
"2028-09-01","2.007","2.036","1.982","2.011","1051600","2114767.6"
"2028-10-16","2.004","2.034","1.979","2.009","1052800","2115075.2"
"2028-12-01","2.001","2.032","1.976","2.007","1054000","2115378"
"2029-01-17","1.998","2.03","1.973","2.005","1055200","2115676"
"2029-03-06","1.994","2.027","1.969","2.002","1056400","2114912.8"
"2029-04-24","1.991","2.025","1.966","2","1057600","2115200"
"2029-06-13","1.987","2.022","1.962","1.997","1058800","2114423.6"
"2029-08-03","1.984","2.02","1.959","1.995","1060000","2114700"
"2029-09-24","1.982","2.019","1.957","1.994","1061200","2116032.8"
"2029-11-16","1.98","2.017","1.955","1.992","1062400","2116300.8"
"2030-01-09","1.979","2.017","1.954","1.992","1063600","2118691.2"
"2030-03-05","1.979","2.017","1.954","1.992","1064800","2121081.6"
"2030-04-30","1.979","2.018","1.954","1.993","1066000","2124538"
"2030-06-26","1.98","2.019","1.955","1.994","1067200","2127996.8"
"2030-08-23","1.982","2.021","1.957","1.996","1068400","2132526.4"
"2030-10-21","1.985","2.024","1.96","1.999","1069600","2138130.4"
"2030-12-20","1.988","2.027","1.963","2.002","1070800","2143741.6"
"2031-02-19","1.993","2.031","1.968","2.006","1072000","2150432"
"2031-04-22","1.999","2.036","1.974","2.011","1073200","2158205.2"
"2031-06-24","2.003","2.04","1.978","2.015","1074400","2164916"
"2031-08-27","2.009","2.045","1.984","2.02","1075600","2172712"
"2031-10-31","2.015","2.05","1.99","2.025","1076800","2180520"
"2032-01-05","2.02","2.054","1.995","2.029","1078000","2187262"
"2032-03-12","2.025","2.058","2","2.033","1079200","2194013.6"
"2032-05-19","2.03","2.062","2.005","2.037","1080400","2200774.8"
"2032-07-27","2.034","2.065","2.009","2.04","1081600","2206464"
"2032-10-05","2.038","2.068","2.013","2.043","1082800","2212160.4"
"2032-12-15","2.041","2.07","2.016","2.045","1084000","2216780"
"2033-02-25","2.042","2.071","2.017","2.046","1085200","2220319.2"
"2033-05-09","2.044","2.072","2.019","2.047","1086400","2223860.8"
"2033-07-22","2.044","2.071","2.019","2.046","1087600","2225229.6"
"2033-10-05","2.044","2.071","2.019","2.046","1088800","2227684.8"
"2033-12-20","2.042","2.069","2.017","2.044","1090000","2227960"
"2034-03-07","2.04","2.067","2.015","2.042","1091200","2228230.4"
"2034-05-24","2.038","2.065","2.013","2.04","1092400","2228496"
"2034-08-11","2.035","2.063","2.01","2.038","1093600","2228756.8"
"2034-10-30","2.032","2.06","2.007","2.035","1094800","2227918"
