"timestamps","open","high","low","close","volume","amount"
"2025-01-02","3.7375","3.7625","3.7025","3.7375","1000000","3737500"
"2025-01-03","3.7457","3.7716","3.7091","3.7441","1002500","3753460.25"
"2025-01-06","3.7535","3.7803","3.7155","3.7504","1005000","3769152"
"2025-01-07","3.7611","3.7888","3.7219","3.7566","1007500","3784774.5"
"2025-01-08","3.768","3.7966","3.7278","3.7623","1010000","3799923"
"2025-01-09","3.7744","3.8038","3.7334","3.7677","1012500","3814796.25"
"2025-01-10","3.78","3.8102","3.7385","3.7725","1015000","3829087.5"
"2025-01-13","3.7846","3.8155","3.7431","3.7767","1017500","3842792.25"
"2025-01-14","3.7882","3.8198","3.747","3.7802","1020000","3855804"
"2025-01-15","3.7909","3.8232","3.7504","3.7831","1022500","3868219.75"
"2025-01-16","3.7925","3.8254","3.753","3.7852","1025000","3879830"
"2025-01-17","3.7931","3.8265","3.755","3.7866","1027500","3890731.5"
"2025-01-20","3.7926","3.8265","3.7562","3.7872","1030000","3900816"
"2025-01-21","3.7911","3.8254","3.7566","3.787","1032500","3910077.5"
"2025-01-22","3.7888","3.8234","3.7564","3.7861","1035000","3918613.5"
"2025-01-23","3.7856","3.8204","3.7555","3.7845","1037500","3926418.75"
"2025-01-24","3.7818","3.8172","3.7535","3.7823","1040000","3933592"
"2025-01-27","3.7775","3.8145","3.7499","3.7795","1042500","3940128.75"
"2025-01-28","3.7728","3.8113","3.7459","3.7763","1045000","3946233.5"
"2025-01-29","3.7677","3.8075","3.7416","3.7726","1047500","3951798.5"
"2025-01-30","3.7624","3.8032","3.7371","3.7685","1050000","3956925"
"2025-01-31","3.7573","3.7987","3.7319","3.7643","1052500","3961925.75"
"2025-02-03","3.7523","3.794","3.7261","3.7599","1055000","3966694.5"
"2025-02-04","3.7477","3.7893","3.7207","3.7556","1057500","3971547"
"2025-02-05","3.7433","3.7845","3.7156","3.7513","1060000","3976378"
"2025-02-06","3.7395","3.7798","3.711","3.7472","1062500","3981400"
"2025-02-07","3.7363","3.7754","3.7071","3.7434","1065000","3986721"
"2025-02-10","3.7337","3.7712","3.7039","3.7399","1067500","3992343.25"
"2025-02-11","3.7319","3.7676","3.7014","3.737","1070000","3998590"
"2025-02-12","3.7309","3.7644","3.6998","3.7346","1072500","4005358.5"
"2025-02-13","3.7306","3.7618","3.6989","3.7328","1075000","4012760"
"2025-02-14","3.7309","3.7598","3.6986","3.7316","1077500","4020799"
"2025-02-17","3.7321","3.7594","3.6984","3.7312","1080000","4029696"
"2025-02-18","3.734","3.7604","3.6983","3.7315","1082500","4039348.75"
"2025-02-19","3.7365","3.762","3.6989","3.7325","1085000","4049762.5"
"2025-02-20","3.7395","3.7649","3.7002","3.7342","1087500","4060942.5"
"2025-02-21","3.743","3.7693","3.7024","3.7367","1090000","4073003"
"2025-02-24","3.747","3.7742","3.7052","3.7398","1092500","4085731.5"
"2025-02-25","3.7513","3.7794","3.7088","3.7436","1095000","4099242"
"2025-02-26","3.756","3.7849","3.7131","3.748","1097500","4113430"
"2025-02-27","3.7607","3.7904","3.7178","3.7528","1100000","4128080"
"2025-02-28","3.7656","3.7961","3.7231","3.7581","1102500","4143305.25"
"2025-03-03","3.7705","3.8018","3.7287","3.7637","1105000","4158888.5"
"2025-03-04","3.7755","3.8074","3.7347","3.7696","1107500","4174832"
"2025-03-05","3.7803","3.8129","3.7409","3.7756","1110000","4190916"
"2025-03-06","3.785","3.8181","3.7472","3.7817","1112500","4207141.25"
"2025-03-07","3.7895","3.8231","3.7535","3.7877","1115000","4223285.5"
"2025-03-10","3.7938","3.8278","3.7597","3.7936","1117500","4239348"
"2025-03-11","3.7978","3.8336","3.7643","3.7992","1120000","4255104"
"2025-03-12","3.8016","3.8392","3.7685","3.8045","1122500","4270551.25"
"2025-03-13","3.805","3.8443","3.7724","3.8094","1125000","4285575"
"2025-03-14","3.8082","3.8488","3.7761","3.8138","1127500","4300059.5"
"2025-03-17","3.811","3.8526","3.7795","3.8176","1130000","4313888"
"2025-03-18","3.8135","3.8558","3.7826","3.8209","1132500","4327169.25"
