symbol,display_name,start_date,end_date,bar_count,missing_rate,duplicate_timestamp_count,price_adjustment,frequency,source_name,status,errors
159915,创业板ETF,2018-01-02,2026-06-03,2039,0.0,0,qfq,daily,akshare.fund_etf_hist_em,PASS,
159949,创业板50ETF,2018-01-02,2026-06-03,2040,0.0,0,qfq,daily,akshare.fund_etf_hist_em,PASS,
510050,上证50ETF,2018-01-02,2026-06-03,2040,0.0,0,qfq,daily,akshare.fund_etf_hist_em,PASS,
510300,沪深300ETF,2018-01-02,2026-06-03,2040,0.0,0,qfq,daily,akshare.fund_etf_hist_em,PASS,
510500,中证500ETF,2018-01-02,2026-06-03,2040,0.0,0,qfq,daily,akshare.fund_etf_hist_em,PASS,
512100,中证1000ETF,2018-01-02,2026-06-03,2039,0.0,0,qfq,daily,akshare.fund_etf_hist_em,PASS,
512480,半导体ETF,2019-06-12,2026-06-03,1691,0.0,0,qfq,daily,akshare.fund_etf_hist_em,PASS,
512660,军工ETF,2018-01-02,2026-06-03,2040,0.0,0,qfq,daily,akshare.fund_etf_hist_em,PASS,
512690,酒ETF,2019-05-06,2026-06-03,1717,0.0,0,qfq,daily,akshare.fund_etf_hist_em,PASS,
512760,芯片ETF,2019-06-12,2026-06-03,1691,0.0,0,qfq,daily,akshare.fund_etf_hist_em,PASS,
512800,银行ETF,2018-01-02,2026-06-03,2040,0.0,0,qfq,daily,akshare.fund_etf_hist_em,PASS,
512880,证券ETF,2018-01-02,2026-06-03,2040,0.0,0,qfq,daily,akshare.fund_etf_hist_em,PASS,
515030,新能源车ETF,2020-03-04,2026-06-03,1515,0.0,0,qfq,daily,akshare.fund_etf_hist_em,PASS,
588000,科创50ETF,2020-11-16,2026-06-03,1344,0.0,0,qfq,daily,akshare.fund_etf_hist_em,PASS,
588080,科创板50ETF,2020-11-16,2026-06-03,1344,0.0,0,qfq,daily,akshare.fund_etf_hist_em,PASS,
